 Variables=x,y,r,u,t                                                             
 zone t=all F=block, i=          802  j=           12
   0.329500D+01   0.330500D+01   0.331500D+01
   0.332500D+01   0.333500D+01   0.334500D+01
   0.335500D+01   0.336500D+01   0.337500D+01
   0.338500D+01   0.339500D+01   0.340500D+01
   0.341500D+01   0.342500D+01   0.343500D+01
   0.344500D+01   0.345500D+01   0.346500D+01
   0.347500D+01   0.348500D+01   0.349500D+01
   0.350500D+01   0.351500D+01   0.352500D+01
   0.353500D+01   0.354500D+01   0.355500D+01
   0.356500D+01   0.357500D+01   0.358500D+01
   0.359500D+01   0.360500D+01   0.361500D+01
   0.362500D+01   0.363500D+01   0.364500D+01
   0.365500D+01   0.366500D+01   0.367500D+01
   0.368500D+01   0.369500D+01   0.370500D+01
   0.371500D+01   0.372500D+01   0.373500D+01
   0.374500D+01   0.375500D+01   0.376500D+01
   0.377500D+01   0.378500D+01   0.379500D+01
   0.380500D+01   0.381500D+01   0.382500D+01
   0.383500D+01   0.384500D+01   0.385500D+01
   0.386500D+01   0.387500D+01   0.388500D+01
   0.389500D+01   0.390500D+01   0.391500D+01
   0.392500D+01   0.393500D+01   0.394500D+01
   0.395500D+01   0.396500D+01   0.397500D+01
   0.398500D+01   0.399500D+01   0.400500D+01
   0.401500D+01   0.402500D+01   0.403500D+01
   0.404500D+01   0.405500D+01   0.406500D+01
   0.407500D+01   0.408500D+01   0.409500D+01
   0.410500D+01   0.411500D+01   0.412500D+01
   0.413500D+01   0.414500D+01   0.415500D+01
   0.416500D+01   0.417500D+01   0.418500D+01
   0.419500D+01   0.420500D+01   0.421500D+01
   0.422500D+01   0.423500D+01   0.424500D+01
   0.425500D+01   0.426500D+01   0.427500D+01
   0.428500D+01   0.429500D+01   0.430500D+01
   0.431500D+01   0.432500D+01   0.433500D+01
   0.434500D+01   0.435500D+01   0.436500D+01
   0.437500D+01   0.438500D+01   0.439500D+01
   0.440500D+01   0.441500D+01   0.442500D+01
   0.443500D+01   0.444500D+01   0.445500D+01
   0.446500D+01   0.447500D+01   0.448500D+01
   0.449500D+01   0.450500D+01   0.451500D+01
   0.452500D+01   0.453500D+01   0.454500D+01
   0.455500D+01   0.456500D+01   0.457500D+01
   0.458500D+01   0.459500D+01   0.460500D+01
   0.461500D+01   0.462500D+01   0.463500D+01
   0.464500D+01   0.465500D+01   0.466500D+01
   0.467500D+01   0.468500D+01   0.469500D+01
   0.470500D+01   0.471500D+01   0.472500D+01
   0.473500D+01   0.474500D+01   0.475500D+01
   0.476500D+01   0.477500D+01   0.478500D+01
   0.479500D+01   0.480500D+01   0.481500D+01
   0.482500D+01   0.483500D+01   0.484500D+01
   0.485500D+01   0.486500D+01   0.487500D+01
   0.488500D+01   0.489500D+01   0.490500D+01
   0.491500D+01   0.492500D+01   0.493500D+01
   0.494500D+01   0.495500D+01   0.496500D+01
   0.497500D+01   0.498500D+01   0.499500D+01
   0.500500D+01   0.501500D+01   0.502500D+01
   0.503500D+01   0.504500D+01   0.505500D+01
   0.506500D+01   0.507500D+01   0.508500D+01
   0.509500D+01   0.510500D+01   0.511500D+01
   0.512500D+01   0.513500D+01   0.514500D+01
   0.515500D+01   0.516500D+01   0.517500D+01
   0.518500D+01   0.519500D+01   0.520500D+01
   0.521500D+01   0.522500D+01   0.523500D+01
   0.524500D+01   0.525500D+01   0.526500D+01
   0.527500D+01   0.528500D+01   0.529500D+01
   0.530500D+01   0.531500D+01   0.532500D+01
   0.533500D+01   0.534500D+01   0.535500D+01
   0.536500D+01   0.537500D+01   0.538500D+01
   0.539500D+01   0.540500D+01   0.541500D+01
   0.542500D+01   0.543500D+01   0.544500D+01
   0.545500D+01   0.546500D+01   0.547500D+01
   0.548500D+01   0.549500D+01   0.550500D+01
   0.551500D+01   0.552500D+01   0.553500D+01
   0.554500D+01   0.555500D+01   0.556500D+01
   0.557500D+01   0.558500D+01   0.559500D+01
   0.560500D+01   0.561500D+01   0.562500D+01
   0.563500D+01   0.564500D+01   0.565500D+01
   0.566500D+01   0.567500D+01   0.568500D+01
   0.569500D+01   0.570500D+01   0.571500D+01
   0.572500D+01   0.573500D+01   0.574500D+01
   0.575500D+01   0.576500D+01   0.577500D+01
   0.578500D+01   0.579500D+01   0.580500D+01
   0.581500D+01   0.582500D+01   0.583500D+01
   0.584500D+01   0.585500D+01   0.586500D+01
   0.587500D+01   0.588500D+01   0.589500D+01
   0.590500D+01   0.591500D+01   0.592500D+01
   0.593500D+01   0.594500D+01   0.595500D+01
   0.596500D+01   0.597500D+01   0.598500D+01
   0.599500D+01   0.600500D+01   0.601500D+01
   0.602500D+01   0.603500D+01   0.604500D+01
   0.605500D+01   0.606500D+01   0.607500D+01
   0.608500D+01   0.609500D+01   0.610500D+01
   0.611500D+01   0.612500D+01   0.613500D+01
   0.614500D+01   0.615500D+01   0.616500D+01
   0.617500D+01   0.618500D+01   0.619500D+01
   0.620500D+01   0.621500D+01   0.622500D+01
   0.623500D+01   0.624500D+01   0.625500D+01
   0.626500D+01   0.627500D+01   0.628500D+01
