 Variables=x,y,r,u,t                                                             
 zone t=all F=block, i=          402  j=           12
   0.000000D+00   0.100000D-01   0.300000D-01
   0.500000D-01   0.700000D-01   0.900000D-01
   0.110000D+00   0.130000D+00   0.150000D+00
   0.170000D+00   0.190000D+00   0.210000D+00
   0.230000D+00   0.250000D+00   0.270000D+00
   0.290000D+00   0.310000D+00   0.330000D+00
   0.350000D+00   0.370000D+00   0.390000D+00
   0.410000D+00   0.430000D+00   0.450000D+00
   0.470000D+00   0.490000D+00   0.510000D+00
   0.530000D+00   0.550000D+00   0.570000D+00
   0.590000D+00   0.610000D+00   0.630000D+00
   0.650000D+00   0.670000D+00   0.690000D+00
   0.710000D+00   0.730000D+00   0.750000D+00
   0.770000D+00   0.790000D+00   0.810000D+00
   0.830000D+00   0.850000D+00   0.870000D+00
   0.890000D+00   0.910000D+00   0.930000D+00
   0.950000D+00   0.970000D+00   0.990000D+00
   0.101000D+01   0.103000D+01   0.105000D+01
   0.107000D+01   0.109000D+01   0.111000D+01
   0.113000D+01   0.115000D+01   0.117000D+01
   0.119000D+01   0.121000D+01   0.123000D+01
   0.125000D+01   0.127000D+01   0.129000D+01
   0.131000D+01   0.133000D+01   0.135000D+01
   0.137000D+01   0.139000D+01   0.141000D+01
   0.143000D+01   0.145000D+01   0.147000D+01
   0.149000D+01   0.151000D+01   0.153000D+01
   0.155000D+01   0.157000D+01   0.159000D+01
   0.161000D+01   0.163000D+01   0.165000D+01
   0.167000D+01   0.169000D+01   0.171000D+01
   0.173000D+01   0.175000D+01   0.177000D+01
   0.179000D+01   0.181000D+01   0.183000D+01
   0.185000D+01   0.187000D+01   0.189000D+01
   0.191000D+01   0.193000D+01   0.195000D+01
   0.197000D+01   0.199000D+01   0.201000D+01
   0.203000D+01   0.205000D+01   0.207000D+01
   0.209000D+01   0.211000D+01   0.213000D+01
   0.215000D+01   0.217000D+01   0.219000D+01
   0.221000D+01   0.223000D+01   0.225000D+01
   0.227000D+01   0.229000D+01   0.231000D+01
   0.233000D+01   0.235000D+01   0.237000D+01
   0.239000D+01   0.241000D+01   0.243000D+01
   0.245000D+01   0.247000D+01   0.249000D+01
   0.251000D+01   0.253000D+01   0.255000D+01
   0.257000D+01   0.259000D+01   0.261000D+01
   0.263000D+01   0.265000D+01   0.267000D+01
   0.269000D+01   0.271000D+01   0.273000D+01
   0.275000D+01   0.277000D+01   0.279000D+01
   0.281000D+01   0.283000D+01   0.285000D+01
   0.287000D+01   0.289000D+01   0.291000D+01
   0.293000D+01   0.295000D+01   0.297000D+01
   0.299000D+01   0.301000D+01   0.303000D+01
