TITLE     = ""
VARIABLES = "t"
ZONE T="all"
 STRANDID=0, SOLUTIONTIME=0
 I=202, J=12, K=1, ZONETYPE=Ordered
 DATAPACKING=BLOCK
 DT=(SINGLE )
 2.880000000E+02 2.880000000E+02 2.880000000E+02 2.880000000E+02 2.880000000E+02
 2.880000000E+02 2.880000000E+02 2.880000000E+02 2.880000000E+02 2.880000000E+02
 2.880090027E+02 2.882829895E+02 2.973529968E+02 2.182340088E+03 5.816009766E+03
 5.866540039E+03 5.871120117E+03 5.871549805E+03 5.871589844E+03 5.871600098E+03
 5.871600098E+03 5.871600098E+03 5.871600098E+03 5.871600098E+03 5.871600098E+03
 5.871600098E+03 5.871600098E+03 5.871600098E+03 5.871600098E+03 5.871600098E+03
 5.871600098E+03 5.871600098E+03 5.871600098E+03 5.871600098E+03 5.871600098E+03
 5.871600098E+03 5.871600098E+03 5.871600098E+03 5.871600098E+03 5.871600098E+03
 5.871600098E+03 5.871600098E+03 5.871600098E+03 5.871600098E+03 5.871600098E+03
 5.871600098E+03 5.871609863E+03 5.871609863E+03 5.871620117E+03 5.871629883E+03
 5.871649902E+03 5.871669922E+03 5.871709961E+03 5.871750000E+03 5.871819824E+03
 5.871910156E+03 5.872020020E+03 5.872169922E+03 5.872370117E+03 5.872620117E+03
 5.872939941E+03 5.873339844E+03 5.873830078E+03 5.874419922E+03 5.875120117E+03
 5.875950195E+03 5.876910156E+03 5.878009766E+03 5.879250000E+03 5.880629883E+03
 5.882120117E+03 5.883729980E+03 5.885430176E+03 5.887189941E+03 5.888979980E+03
 5.890759766E+03 5.892490234E+03 5.894129883E+03 5.895629883E+03 5.896939941E+03
 5.898040039E+03 5.898890137E+03 5.899470215E+03 5.899750000E+03 5.899729980E+03
 5.899419922E+03 5.898819824E+03 5.897950195E+03 5.896839844E+03 5.895529785E+03
 5.894060059E+03 5.892459961E+03 5.890779785E+03 5.889049805E+03 5.887319824E+03
 5.885629883E+03 5.883990234E+03 5.882439941E+03 5.881000000E+03 5.879669922E+03
 5.878470215E+03 5.877390137E+03 5.876439941E+03 5.875620117E+03 5.874910156E+03
 5.874310059E+03 5.873810059E+03 5.873390137E+03 5.873049805E+03 5.872779785E+03
 5.872560059E+03 5.872379883E+03 5.872240234E+03 5.872140137E+03 5.872060059E+03
 5.872000000E+03 5.871950195E+03 5.871919922E+03 5.871899902E+03 5.871879883E+03
 5.871870117E+03 5.871859863E+03 5.871850098E+03 5.871850098E+03 5.871850098E+03
 5.871839844E+03 5.871839844E+03 5.871839844E+03 5.871839844E+03 5.871839844E+03
 5.871839844E+03 5.871839844E+03 5.871839844E+03 5.871850098E+03 5.871850098E+03
 5.871850098E+03 5.871850098E+03 5.871850098E+03 5.871850098E+03 5.871850098E+03
 5.871850098E+03 5.871850098E+03 5.871850098E+03 5.871850098E+03 5.871850098E+03
 5.871850098E+03 5.871850098E+03 5.871850098E+03 5.871850098E+03 5.871859863E+03
 5.871859863E+03 5.871870117E+03 5.871870117E+03 5.871890137E+03 5.871899902E+03
 5.871919922E+03 5.871950195E+03 5.871990234E+03 5.872040039E+03 5.872100098E+03
 5.872180176E+03 5.872279785E+03 5.872399902E+03 5.872540039E+03 5.872700195E+03
 5.872890137E+03 5.873109863E+03 5.873350098E+03 5.873609863E+03 5.873890137E+03
 5.874180176E+03 5.874479980E+03 5.874770020E+03 5.875049805E+03 5.875310059E+03
 5.875540039E+03 5.875740234E+03 5.875890137E+03 5.875990234E+03 5.876049805E+03
 5.876049805E+03 5.876009766E+03 5.875919922E+03 5.875790039E+03 5.875629883E+03
 5.875450195E+03 5.875250000E+03 5.875029785E+03 5.874810059E+03 5.874600098E+03
 5.874379883E+03 5.874180176E+03 5.873990234E+03 5.873799805E+03 5.873640137E+03
 5.873479980E+03 5.873330078E+03 5.873200195E+03 5.873069824E+03 5.872919922E+03
 5.872600098E+03 5.870290039E+03 2.880000000E+02 2.880000000E+02 2.880000000E+02
 2.880000000E+02 2.880000000E+02 2.880000000E+02 2.880000000E+02 2.880000000E+02
 2.880000000E+02 2.880000000E+02 2.880090027E+02 2.882829895E+02 2.973529968E+02
 2.182340088E+03 5.816009766E+03 5.866540039E+03 5.871120117E+03 5.871549805E+03
 5.871589844E+03 5.871600098E+03 5.871600098E+03 5.871600098E+03 5.871600098E+03
 5.871600098E+03 5.871600098E+03 5.871600098E+03 5.871600098E+03 5.871600098E+03
 5.871600098E+03 5.871600098E+03 5.871600098E+03 5.871600098E+03 5.871600098E+03
 5.871600098E+03 5.871600098E+03 5.871600098E+03 5.871600098E+03 5.871600098E+03
 5.871600098E+03 5.871600098E+03 5.871600098E+03 5.871600098E+03 5.871600098E+03
 5.871600098E+03 5.871600098E+03 5.871600098E+03 5.871609863E+03 5.871609863E+03
 5.871620117E+03 5.871629883E+03 5.871649902E+03 5.871669922E+03 5.871709961E+03
 5.871750000E+03 5.871819824E+03 5.871910156E+03 5.872020020E+03 5.872169922E+03
 5.872370117E+03 5.872620117E+03 5.872939941E+03 5.873339844E+03 5.873830078E+03
 5.874419922E+03 5.875120117E+03 5.875950195E+03 5.876910156E+03 5.878009766E+03
 5.879250000E+03 5.880629883E+03 5.882120117E+03 5.883729980E+03 5.885430176E+03
 5.887189941E+03 5.888979980E+03 5.890759766E+03 5.892490234E+03 5.894129883E+03
 5.895629883E+03 5.896939941E+03 5.898040039E+03 5.898890137E+03 5.899470215E+03
 5.899750000E+03 5.899729980E+03 5.899419922E+03 5.898819824E+03 5.897950195E+03
